,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
0,서울특별시,서울,강남구,현대오일뱅크㈜직영 오천주유소,서울 강남구 봉은사로 503 (삼성동),서울 강남구 봉은사로 503 ,현대오일뱅크,N,N,N,Y,N,1441.0
1,서울특별시,서울,강남구,뉴서울(강남),서울 강남구 언주로 716 (논현동),서울 강남구 언주로 716 ,SK에너지,N,N,N,Y,N,2025.0
2,경기도,경기,안산시,현대오일뱅크㈜직영 안산공원셀프주유소,경기 안산시 단원구  광덕1로 268 (고잔동),경기 안산시 단원구  광덕1로 268 ,현대오일뱅크,Y,N,N,Y,N,1325.0
3,경기도,경기,안산시,(주)동강석유 남안산IC주유소,경기 안산시 단원구 성곡로 279 (신길동),경기 안산시 단원구 성곡로 279 ,S-OIL,Y,N,N,Y,N,1328.0
4,경기도,경기,안산시,반월공단주유소,경기 안산시 단원구 시우로 46,경기 안산시 단원구 시우로 46,SK에너지,Y,N,N,Y,N,1378.0
5,경기도,경기,안산시,케이비원대부도주유소,경기 안산시 단원구 대선로 489 (대부남동),경기 안산시 단원구 대선로 489 ,SK에너지,N,N,N,Y,N,1388.0
6,경기도,경기,안산시,삼원주유소,경기 안산시 단원구 목내로 45,경기 안산시 단원구 목내로 45,GS칼텍스,Y,N,N,Y,N,1395.0
7,경기도,경기,안산시,이마트24서비스 고잔주유소,경기 안산시 단원구 적금로 114 (고잔동),경기 안산시 단원구 적금로 114 ,SK에너지,Y,N,N,Y,N,1399.0
8,경기도,경기,안산시,스마트허브주유소,경기 안산시 단원구 해봉로 204 (성곡동),경기 안산시 단원구 해봉로 204 ,GS칼텍스,N,N,N,Y,N,1399.0
9,경기도,경기,안산시,MTV스마트주유소,경기도 안산시 단원구 시화호수로841번길 4,경기도 안산시 단원구 시화호수로841번길 4,GS칼텍스,Y,N,N,Y,N,1429.0
10,경기도,경기,안산시,현대오일뱅크㈜직영 동양주유소,경기 안산시 단원구 중앙대로 351 (신길동),경기 안산시 단원구 중앙대로 351 ,현대오일뱅크,N,N,N,Y,N,1465.0
11,경기도,경기,안산시,현대오일뱅크㈜직영 안산중앙주유소,경기 안산시 단원구 화정로 96 (와동),경기 안산시 단원구 화정로 96 ,현대오일뱅크,N,N,N,Y,N,1485.0
12,서울특별시,서울,동작구,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),서울 동작구 시흥대로 616 ,현대오일뱅크,Y,N,N,Y,N,1320.0
13,서울특별시,서울,마포구,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),서울 마포구 마포대로 69 ,SK에너지,N,N,N,Y,N,1679.0
14,서울특별시,서울,서대문구,행촌제2주유소,서울 서대문구 성산로 490 (대신동),서울 서대문구 성산로 490 ,SK에너지,N,N,N,Y,N,1354.0
15,서울특별시,서울,서대문구,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,서울 서대문구 모래내로 205,현대오일뱅크,Y,N,N,Y,N,1354.0
16,서울특별시,서울,서대문구,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),서울 서대문구 연희로 129 ,SK에너지,N,N,N,Y,N,1354.0
17,서울특별시,서울,서대문구,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),서울 서대문구 연희로 12 ,SK에너지,Y,N,N,Y,N,1359.0
18,서울특별시,서울,서대문구,삼미상사(주)서부주유소,서울 서대문구 성산로 255,서울 서대문구 성산로 255,SK에너지,Y,N,N,Y,N,1375.0
19,서울특별시,서울,서대문구,현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),서울 서대문구 통일로 384 ,현대오일뱅크,N,N,N,Y,N,1399.0
20,서울특별시,서울,서초구,만남의광장주유소,서울 서초구 양재대로12길 73-71,서울 서초구 양재대로12길 73-71,알뜰(ex),Y,N,N,Y,N,1269.0
21,서울특별시,서울,서초구,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,서울 서초구 남부순환로 2451,GS칼텍스,N,N,N,Y,N,1395.0
22,서울특별시,서울,서초구,현대오일뱅크㈜직영 반포셀프주유소,서울 서초구 사평대로 12,서울 서초구 사평대로 12,현대오일뱅크,Y,N,N,Y,N,1409.0
23,서울특별시,서울,서초구,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),서울 서초구 양재대로 173 ,SK에너지,Y,N,N,Y,N,1419.0
