,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
0,서울특별시,서울,강남구,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),서울 강남구 남부순환로 2651 ,SK에너지,Y,N,N,N,Y,1384.0
1,서울특별시,서울,강남구,지에스칼텍스㈜ GS타워주유소,서울 강남구 논현로 516 (역삼동),서울 강남구 논현로 516 ,GS칼텍스,N,N,N,N,Y,1415.0
2,서울특별시,서울,강남구,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),서울 강남구 언주로 423 ,S-OIL,N,N,N,N,Y,1415.0
3,서울특별시,서울,강남구,SK서광주유소,서울 강남구 역삼로 142 (역삼동),서울 강남구 역삼로 142 ,SK에너지,Y,N,N,N,Y,1415.0
4,서울특별시,서울,강남구,역삼주유소,서울 강남구 역삼로 205 (역삼동),서울 강남구 역삼로 205 ,GS칼텍스,N,N,N,N,Y,1415.0
5,서울특별시,서울,강남구,지에스칼텍스㈜ 주성주유소,서울 강남구 영동대로 716,서울 강남구 영동대로 716,GS칼텍스,N,N,N,N,Y,1425.0
6,서울특별시,서울,강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,서울 강남구 논현로 640,SK에너지,Y,N,N,N,Y,1435.0
7,서울특별시,서울,강남구,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),서울 강남구 삼성로 563 ,GS칼텍스,Y,N,N,N,Y,1441.0
8,서울특별시,서울,강남구,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),서울 강남구 언주로 842 ,SK에너지,Y,N,N,N,Y,1453.0
9,서울특별시,서울,강남구,논현동주유소,서울 강남구 학동로 229 (논현동),서울 강남구 학동로 229 ,GS칼텍스,Y,N,N,N,Y,1527.0
10,서울특별시,서울,강남구,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,서울 강남구 압구정로 154,현대오일뱅크,N,N,N,N,Y,1637.0
11,서울특별시,서울,강남구,명품주유소,서울 강남구 도곡로 249 (역삼동),서울 강남구 도곡로 249 ,S-OIL,N,N,N,N,Y,1698.0
12,서울특별시,서울,강남구,SK논현주유소,서울 강남구 논현로 747 (논현동),서울 강남구 논현로 747 ,SK에너지,N,N,N,N,Y,1788.0
13,서울특별시,서울,강남구,학여울주유소,서울 강남구  남부순환로 3170 (일원2동),서울 강남구  남부순환로 3170 ,GS칼텍스,N,N,N,N,Y,1873.0
14,서울특별시,서울,강남구,뉴서울(강남),서울 강남구 언주로 716 (논현동),서울 강남구 언주로 716 ,SK에너지,N,N,N,N,Y,2025.0
15,서울특별시,서울,도봉구,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),서울 도봉구 도봉로 437 ,SK에너지,Y,N,N,N,Y,1259.0
