,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
0,서울특별시,서울,강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),서울 강남구  헌릉로 731 ,SK에너지,Y,Y,N,N,N,1363.0
1,서울특별시,서울,강남구,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),서울 강남구 남부순환로 2651 ,SK에너지,Y,Y,N,N,N,1384.0
2,서울특별시,서울,강남구,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),서울 강남구  남부순환로 2718 ,현대오일뱅크,Y,Y,N,N,N,1384.0
3,서울특별시,서울,강남구,GS칼텍스(주)직영 산성주유소,서울 강남구 헌릉로 730,서울 강남구 헌릉로 730,GS칼텍스,Y,Y,N,N,N,1385.0
4,서울특별시,서울,강남구,방죽주유소,서울 강남구 밤고개로 215 (율현동),서울 강남구 밤고개로 215 ,S-OIL,Y,Y,N,N,N,1389.0
5,서울특별시,서울,강남구,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),서울 강남구 논현로 152 ,현대오일뱅크,N,Y,N,N,N,1398.0
6,서울특별시,서울,강남구,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),서울 강남구 밤고개로 120 ,SK에너지,Y,Y,N,N,N,1399.0
7,서울특별시,서울,강남구,역삼주유소,서울 강남구 역삼로 205 (역삼동),서울 강남구 역삼로 205 ,GS칼텍스,N,Y,N,N,N,1415.0
8,서울특별시,서울,강남구,SK서광주유소,서울 강남구 역삼로 142 (역삼동),서울 강남구 역삼로 142 ,SK에너지,Y,Y,N,N,N,1415.0
9,서울특별시,서울,강남구,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,서울 강남구 영동대로 235,GS칼텍스,N,Y,N,N,N,1415.0
10,서울특별시,서울,강남구,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,서울 강남구 언주로 307,SK에너지,Y,Y,N,N,N,1415.0
11,서울특별시,서울,강남구,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),서울 강남구 언주로 423 ,S-OIL,N,Y,N,N,N,1415.0
12,서울특별시,서울,강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),서울 강남구 도곡로 162 ,S-OIL,N,Y,N,N,N,1415.0
