,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
0,서울특별시,서울,강남구,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),서울 강남구  남부순환로 2718 ,현대오일뱅크,Y,N,Y,N,N,1384.0
1,서울특별시,서울,강남구,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),서울 강남구 남부순환로 2651 ,SK에너지,Y,N,Y,N,N,1384.0
2,서울특별시,서울,강남구,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),서울 강남구 논현로 152 ,현대오일뱅크,N,N,Y,N,N,1398.0
3,서울특별시,서울,강남구,지에스칼텍스㈜ GS타워주유소,서울 강남구 논현로 516 (역삼동),서울 강남구 논현로 516 ,GS칼텍스,N,N,Y,N,N,1415.0
4,서울특별시,서울,강남구,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,서울 강남구 영동대로 235,GS칼텍스,N,N,Y,N,N,1415.0
5,서울특별시,서울,강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),서울 강남구 도곡로 162 ,S-OIL,N,N,Y,N,N,1415.0
6,서울특별시,서울,강남구,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,서울 강남구 언주로 307,SK에너지,Y,N,Y,N,N,1415.0
7,서울특별시,서울,강남구,역삼주유소,서울 강남구 역삼로 205 (역삼동),서울 강남구 역삼로 205 ,GS칼텍스,N,N,Y,N,N,1415.0
8,서울특별시,서울,강남구,현대오일뱅크㈜직영 오천주유소,서울 강남구 봉은사로 503 (삼성동),서울 강남구 봉은사로 503 ,현대오일뱅크,N,N,Y,N,N,1441.0
9,서울특별시,서울,강남구,SK논현주유소,서울 강남구 논현로 747 (논현동),서울 강남구 논현로 747 ,SK에너지,N,N,Y,N,N,1788.0
10,서울특별시,서울,도봉구,극동유화(주)대안주유소,서울 도봉구 마들로 574 (창동),서울 도봉구 마들로 574 ,S-OIL,Y,N,Y,N,N,1279.0
11,서울특별시,서울,도봉구,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),서울 도봉구  도봉로 434 ,SK에너지,Y,N,Y,N,N,1297.0
12,서울특별시,서울,도봉구,쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),서울 도봉구 도봉로 547 ,S-OIL,Y,N,Y,N,N,1298.0
13,서울특별시,서울,도봉구,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),서울 도봉구 덕릉로 267 ,GS칼텍스,N,N,Y,N,N,1325.0
14,서울특별시,서울,도봉구,구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),서울 도봉구 도봉로 706 ,S-OIL,Y,N,Y,N,N,1329.0
15,서울특별시,서울,도봉구,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),서울 도봉구 도봉로 895 ,GS칼텍스,Y,N,Y,N,N,1330.0
16,경기도,경기,안산시,㈜소모에너지 안산하이웨이주유소,경기 안산시 상록구 안산천서로 263,경기 안산시 상록구 안산천서로 263,GS칼텍스,Y,N,Y,N,N,1285.0
17,경기도,경기,안산시,신양주유소,경기 안산시 상록구 월피로 84,경기 안산시 상록구 월피로 84,SK에너지,N,N,Y,N,N,1298.0
